sheet,row,code,measure,range,year,excel,pipeline,status,diff,n_sumifs,sample_formula
Approved,7,EXP_ECON_PEN_CON_EXE,approved_20,20,2024,0.0,0.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ3_20,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2006,2179057510.0,2179057510.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2007,2865070996.0,2865070996.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2008,3292268684.0,3292268684.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2009,4469302163.0,4469302163.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2010,4094958638.0,4094958638.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2011,4575615246.75,4575615246.75,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2012,5236757222.986328,5236757222.986328,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2013,5937534113.0,5937534113.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2014,7567326346.0,7567326346.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved,base,2015,9407987618.5,9407987618.5,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Capital"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_16,16,2016,5144099184.0,5144099184.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_16,16,2017,5809859808.0,5809859808.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_16,16,2018,7767906820.0,7767906820.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_16,16,2019,7151009140.0,7151009140.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_20,20,2020,8863604397.0,8863604397.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_20,20,2021,7502557188.0,7502557188.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_20,20,2022,8073527690.0,8073527690.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_20,20,2023,8850943970.0,8850943970.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Capitale"")"
Approved,8,EXP_ECON_CAP_EXP_EXE,approved_20,20,2024,9591272140.0,9591272140.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Capitale"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2006,3270937136.0,3270937136.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2007,4468721451.38,4468721451.38,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
Approved,11,EXP_ECON_USE_GOO_SER_EXE,approved,base,2008,5650009060.28,5650009060.28,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ1,""113 Payment for goods and services"")"
