sheet,row,row_type,code,category,fiscal_year,region,income,basis,source,rigidity,formulas_text,coverage_text,sample_formula,sample_year,measure,criteria_json
Approved,295,ROLLUP,EXP_ECON_HIG_RIG_EXE,High Rigidity spending,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,"=IF(C2="".."","".."",IF($AL295=""No"","".."",IF(C259>0,SUM(C4,C9,C12,C13,C17, C26,C291,C294),SUM(C4,C9,C12,C13,C17,C26,C260,C291,C294))))",2006,,[]
Approved,296,ROLLUP,EXP_ECON_MED_RIG_EXE,Medium Rigidity spending,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,"=IFERROR(IF(C295="".."","".."",SUM(C15,C290,C293,C239,C219,C240,C220))-SUM(C252:C253,C228,C229),"".."")",2006,,[]
Approved,297,ROLLUP,EXP_ECON_LOW_RIG_EXE,Low Rigidity spending,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,"=IF(C296="".."","".."",C2-SUM(C295:C296))",2006,,[]
Approved,299,TAG,REV_ECON_TOT_EXE,Revenues: Total,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,"=SUM(SUMIFS(executed_r,year_r,O$1))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}]"
Approved,300,TAG,REV_ECON_INC_TAX_EXE,Revenues: Income tax,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ2_r,""111 Taxes on income, profits, and capital gains""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ2_r,""111 Taxes on income, profits, and capital gains""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ2_r"", ""op"": ""="", ""value"": ""111 Taxes on income, profits, and capital gains""}]"
Approved,301,HEADER,REV_ECON_VAT_EXE,Revenues: VAT,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ4_r,{""vat*"",""Imported Goods & Services""}))",General Government,,,,[]
Approved,302,TAG,REV_ECON_CUS_EXC_EXE,Revenues: Customs/excise,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ2_r,""115 Taxes on international trade and transactions""))+SUM(SUMIFS(executed_r,year_r,AE$1,econ3_R,""1142 Excise""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ2_r,""115 Taxes on international trade and transactions""))+SUM(SUMIFS(executed_r,year_r,O$1,econ3_R,""1142 Excise""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ2_r"", ""op"": ""="", ""value"": ""115 Taxes on international trade and transactions""}]"
Approved,303,TAG,REV_ECON_ROY_EXE,Revenues: Royalties,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ4_r,""1141200003 Royalties-Mining""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ4_r,""1141200003 Royalties-Mining""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ4_r"", ""op"": ""="", ""value"": ""1141200003 Royalties-Mining""}]"
Approved,304,TAG,REV_ECON_PER_FEE_EXE,Revenues: Permits/Fees,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ2_r,""143 Fines, penalties, and forfeits""))+SUM(SUMIFS(executed_r,year_r,AE$1,econ3_R,""Administrative fees*""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ2_r,""143 Fines, penalties, and forfeits""))+SUM(SUMIFS(executed_r,year_r,O$1,econ3_R,""Administrative fees*""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ2_r"", ""op"": ""="", ""value"": ""143 Fines, penalties, and forfeits""}]"
Approved,305,HEADER,REV_ECON_SBN_OWN_EXE,Revenues: Subnational own revenues,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,306,TAG,REV_ECON_EXC_EXE,Revenues: Excises,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3_R,""1142 Excise""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ3_R,""1142 Excise""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ3_R"", ""op"": ""="", ""value"": ""1142 Excise""}]"
Approved,307,TAG,REV_ECON_CUS_EXE,Revenues: Customs,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ2_r,""115 Taxes on international trade and transactions""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ2_r,""115 Taxes on international trade and transactions""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ2_r"", ""op"": ""="", ""value"": ""115 Taxes on international trade and transactions""}]"
Approved,308,TAG,REV_ECON_COR_INC_TAX_EXE,Revenues: Corporate Income tax,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ2_r,""111 Taxes on income, profits, and capital gains"",econ3_R,""1112 Payable by corporations and other enterprises""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ2_r,""111 Taxes on income, profits, and capital gains"",econ3_R,""1112 Payable by corporations and other enterprises""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ2_r"", ""op"": ""="", ""value"": ""111 Taxes on income, profits, and capital gains""}, {""field"": ""econ3_R"", ""op"": ""="", ""value"": ""1112 Payable by corporations and other enterprises""}]"
Approved,309,TAG,REV_ECON_PER_INC_TAX_EXE,Revenues: Personal Income tax,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ2_r,""111 Taxes on income, profits, and capital gains"",econ3_R,""1111 Payable by individuals""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ2_r,""111 Taxes on income, profits, and capital gains"",econ3_R,""1111 Payable by individuals""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ2_r"", ""op"": ""="", ""value"": ""111 Taxes on income, profits, and capital gains""}, {""field"": ""econ3_R"", ""op"": ""="", ""value"": ""1111 Payable by individuals""}]"
Approved,310,TAG,REV_ECON_SOC_CON_EXE,Revenue: Social contributions,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ1_r,""12 Social contributions""))",General Government,"=SUM(SUMIFS(executed_r,year_r,O$1,econ1_r,""12 Social contributions""))",2018,executed_r,"[{""field"": ""year_r"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ1_r"", ""op"": ""="", ""value"": ""12 Social contributions""}]"
Approved,311,HEADER,REV_ECON_PRO_TAX_EXE,Revenue: Property taxes,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,312,HEADER,REV_ECON_CUS_IMP_EXE,Revenue: Customs (imports),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,313,HEADER,REV_ECON_CUS_EXP_EXE,Revenue: Customs (exports),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,314,HEADER,REV_ECON_EXC_FUE_EXE,Revenues: Excises (fuels),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3_R,""1142 Excise"",econ4_r,{""1142000008 Excise duty-Petrol""}))",General Government,,,,[]
Approved,315,HEADER,REV_ECON_EXC_TOB_EXE,Revenues: Excises (tobacco),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3_R,""1142 Excise"",econ4_r,{""1142000005 Excise duty-Cigarette Tobacco""}))",General Government,,,,[]
Approved,316,HEADER,REV_ECON_EXC_ALC_EXE,Revenues: Excises (Alcohol),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3_R,""1142 Excise"",econ4_r,{""1142000001 Excise duty-Wine"",""1142000014 Excise duty-clear Beer""}))",General Government,,,,[]
Approved,317,HEADER,REV_ECON_SOC_CON_ERS_EXE,Revenue: Social contributions (employers),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,318,HEADER,REV_ECON_SOC_CON_EES_EXE,Revenue: Social contributions (employees),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,319,HEADER,REV_ECON_PRO_TAX_IMM_EXE,Revenue: Property taxes (immovable),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
